,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,Predicted Status
0,8724,Technology,region_26,Bachelor's,m,sourcing,1,24,,1,1,0,77,0
1,74430,HR,region_4,Bachelor's,f,other,1,31,3.0,5,0,0,51,0
2,72255,Sales & Marketing,region_13,Bachelor's,m,other,1,31,1.0,4,0,0,47,0
3,38562,Procurement,region_2,Bachelor's,f,other,3,31,2.0,9,0,0,65,0
4,64486,Finance,region_29,Bachelor's,m,sourcing,1,30,4.0,7,0,0,61,0
5,46232,Procurement,region_7,Bachelor's,m,sourcing,1,36,3.0,2,0,0,68,0
6,54542,Finance,region_2,Bachelor's,m,other,1,33,5.0,3,1,0,57,1
7,67269,Analytics,region_22,Bachelor's,m,sourcing,2,36,3.0,3,0,0,85,1
8,66174,Technology,region_7,Master's & above,m,other,1,51,4.0,11,0,0,75,0
9,76303,Technology,region_22,Bachelor's,m,sourcing,1,29,5.0,2,1,0,76,0
10,60245,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,40,5.0,12,1,0,50,0
11,42639,Sales & Marketing,region_17,Master's & above,m,sourcing,1,40,3.0,10,0,0,46,0
12,30963,Sales & Marketing,region_4,Master's & above,f,other,1,34,3.0,4,0,0,52,0
13,54055,Analytics,region_24,Bachelor's,m,other,1,37,3.0,10,0,0,82,1
14,42996,Operations,region_11,Bachelor's,m,sourcing,1,30,5.0,6,1,0,58,0
15,12737,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,31,4.0,4,1,0,47,0
16,27561,Operations,region_27,Bachelor's,f,sourcing,1,26,5.0,3,0,0,56,0
17,26622,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,40,5.0,6,1,0,50,0
18,31582,Procurement,region_7,Bachelor's,f,other,1,49,3.0,7,1,0,64,0
19,29793,Procurement,region_27,Bachelor's,m,other,1,27,2.0,5,0,0,65,0
20,72735,Sales & Marketing,region_9,Master's & above,m,sourcing,1,37,5.0,3,0,0,47,0
21,5677,Technology,region_17,Bachelor's,m,sourcing,1,25,,1,0,0,80,0
22,60889,Technology,region_29,Master's & above,m,sourcing,1,30,1.0,3,0,0,83,0
23,51498,Procurement,region_4,Master's & above,m,other,1,41,3.0,4,0,0,76,0
24,8566,Finance,region_20,Bachelor's,f,other,1,29,4.0,6,1,0,58,0
25,53151,Operations,region_20,Bachelor's,m,other,1,33,3.0,7,1,1,62,0
26,16203,Sales & Marketing,region_17,Master's & above,m,sourcing,1,34,4.0,6,1,0,50,0
27,61083,Analytics,region_13,Bachelor's,m,sourcing,1,34,3.0,3,1,0,87,1
28,74849,Operations,region_22,Bachelor's,m,other,1,52,1.0,10,0,0,61,0
29,13259,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,30,2.0,3,0,0,50,0
30,72407,Analytics,region_2,Master's & above,m,sourcing,2,34,4.0,7,0,0,87,1
31,65237,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,43,1.0,14,0,0,52,0
32,67672,Technology,region_17,Bachelor's,m,other,1,29,,1,1,0,85,0
33,77460,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,35,3.0,3,1,0,52,1
34,67317,Technology,region_22,Master's & above,m,other,4,40,3.0,12,0,0,77,0
35,68788,Technology,region_23,Bachelor's,m,sourcing,2,33,4.0,9,0,0,83,0
36,36834,Sales & Marketing,region_8,Master's & above,m,other,1,30,3.0,2,1,0,55,0
37,64281,Sales & Marketing,region_14,Bachelor's,f,sourcing,2,42,1.0,3,1,0,46,0
38,1822,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,29,1.0,3,0,0,51,0
39,55325,Analytics,region_22,Bachelor's,m,other,1,25,,1,0,0,88,1
40,41432,Analytics,region_26,Bachelor's,m,sourcing,1,26,5.0,4,1,0,90,1
41,52061,Sales & Marketing,region_31,Bachelor's,m,other,1,27,2.0,3,0,0,52,0
42,39973,Operations,region_13,Bachelor's,m,other,1,34,5.0,5,1,0,66,1
43,42524,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,26,4.0,5,0,0,45,0
44,7935,Technology,region_2,Bachelor's,f,other,1,52,5.0,18,0,0,80,0
45,49940,Sales & Marketing,region_7,Bachelor's,m,other,1,26,5.0,2,1,0,54,0
46,10059,Analytics,region_34,Bachelor's,m,sourcing,3,27,3.0,2,0,0,83,1
47,44159,Analytics,region_22,Master's & above,m,other,1,31,,1,1,0,84,1
48,76691,Operations,region_23,Bachelor's,m,other,1,33,4.0,8,1,0,59,0
49,3720,Sales & Marketing,region_2,,m,sourcing,1,36,5.0,4,1,0,49,0
50,5621,Technology,region_2,Master's & above,f,other,1,57,1.0,26,0,0,76,0
51,24147,Sales & Marketing,region_2,Bachelor's,m,other,2,46,1.0,7,0,0,49,0
52,33997,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,30,2.0,3,0,0,50,0
53,64076,Operations,region_2,Below Secondary,m,other,1,21,,1,1,0,56,0
54,21379,Technology,region_4,Bachelor's,m,sourcing,1,26,,1,1,0,85,0
55,23714,Technology,region_7,Master's & above,m,sourcing,2,40,3.0,6,0,0,81,0
56,19866,Technology,region_23,Bachelor's,m,other,2,32,3.0,6,0,0,79,0
57,4529,Finance,region_22,Master's & above,f,sourcing,1,36,3.0,2,1,0,61,0
58,64703,Legal,region_2,Bachelor's,m,other,1,28,2.0,2,0,0,62,0
59,19649,Operations,region_22,Bachelor's,f,sourcing,1,29,5.0,4,1,0,56,0
60,6596,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4.0,4,0,0,49,0
61,7999,Technology,region_4,Bachelor's,m,other,1,31,2.0,4,1,0,78,0
62,4762,Sales & Marketing,region_22,Bachelor's,m,other,1,29,1.0,4,0,0,46,0
63,5387,Technology,region_5,Below Secondary,m,other,1,23,,1,0,0,81,0
64,24620,Operations,region_26,Bachelor's,m,sourcing,1,41,4.0,6,1,0,60,0
65,57989,Procurement,region_2,Bachelor's,m,other,1,29,5.0,2,1,0,74,0
66,75619,Sales & Marketing,region_28,Bachelor's,f,other,1,29,2.0,5,0,0,51,1
67,26977,Operations,region_2,,m,sourcing,1,28,3.0,3,0,0,59,0
68,65975,Analytics,region_29,Bachelor's,m,other,2,28,5.0,4,1,0,84,0
69,51302,Procurement,region_22,Bachelor's,f,sourcing,1,31,1.0,6,0,0,64,0
70,63714,Technology,region_4,Master's & above,m,sourcing,1,36,3.0,4,0,0,76,0
71,70556,Operations,region_2,Bachelor's,m,other,3,26,3.0,4,1,0,57,1
72,70117,Technology,region_15,Bachelor's,m,other,1,29,3.0,2,0,0,84,0
73,51972,Analytics,region_7,Bachelor's,m,sourcing,1,32,4.0,6,0,0,85,1
74,60572,Sales & Marketing,region_2,Bachelor's,f,other,1,40,1.0,10,0,0,50,1
75,9548,Analytics,region_22,Bachelor's,m,sourcing,2,38,4.0,13,0,0,87,0
76,64,Analytics,region_4,Bachelor's,m,other,1,42,5.0,11,1,0,80,1
77,35510,Procurement,region_29,Master's & above,f,other,1,33,3.0,6,0,0,68,0
78,10732,Analytics,region_2,Bachelor's,m,other,1,31,5.0,5,1,0,92,0
79,9214,Operations,region_3,Master's & above,f,sourcing,1,35,3.0,4,0,0,58,0
80,10761,HR,region_2,Master's & above,f,sourcing,1,58,5.0,6,1,0,51,0
81,32110,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,26,2.0,4,0,0,48,1
82,50038,HR,region_29,Bachelor's,f,sourcing,1,33,3.0,8,1,0,49,0
83,1555,Technology,region_7,Bachelor's,m,sourcing,1,30,3.0,3,1,0,80,0
84,21200,Technology,region_13,Master's & above,f,sourcing,1,43,3.0,12,0,0,79,1
85,50380,HR,region_17,Bachelor's,f,sourcing,1,31,4.0,7,0,0,48,0
86,45009,Analytics,region_29,Bachelor's,m,sourcing,1,32,3.0,5,1,0,86,0
87,65450,Technology,region_2,Master's & above,f,sourcing,2,57,2.0,7,0,0,83,0
88,77333,Operations,region_2,Bachelor's,f,other,1,54,4.0,22,0,0,57,0
89,2347,Analytics,region_15,,m,other,2,37,5.0,8,1,0,82,0
90,8443,R&D,region_22,Master's & above,m,other,2,27,4.0,5,0,0,86,0
91,39490,Operations,region_22,Master's & above,m,sourcing,1,44,3.0,10,0,0,55,0
92,69077,Technology,region_24,Master's & above,f,other,1,37,3.0,10,0,0,81,0
93,64652,Procurement,region_7,Master's & above,m,other,1,48,4.0,8,0,0,72,0
94,5254,Sales & Marketing,region_25,Bachelor's,f,other,1,31,3.0,6,1,0,43,0
95,71131,Finance,region_22,Bachelor's,f,other,1,28,5.0,5,1,0,60,0
96,19620,Procurement,region_13,Master's & above,f,other,1,34,3.0,4,0,0,69,0
97,41266,Sales & Marketing,region_14,Bachelor's,f,sourcing,1,44,1.0,4,0,0,47,0
98,11001,Sales & Marketing,region_12,Bachelor's,m,sourcing,1,27,5.0,2,0,0,50,1
99,28530,Operations,region_22,Master's & above,m,referred,1,45,3.0,4,1,0,57,1
100,72481,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,24,4.0,2,0,0,48,0
101,67417,Analytics,region_29,Bachelor's,m,other,1,37,5.0,4,0,0,82,0
102,51840,Analytics,region_22,Master's & above,m,other,1,27,,1,1,0,86,0
103,43223,Legal,region_22,Bachelor's,m,other,1,33,,1,1,0,59,1
104,40287,Sales & Marketing,region_2,Master's & above,f,other,1,31,1.0,2,1,0,53,1
105,29367,Sales & Marketing,region_7,Master's & above,m,sourcing,3,38,3.0,5,0,0,49,0
106,36352,Procurement,region_22,Bachelor's,m,other,1,32,5.0,2,1,0,72,0
107,29681,Analytics,region_19,Bachelor's,m,other,1,29,3.0,4,0,0,84,0
108,30233,Sales & Marketing,region_15,Bachelor's,m,other,1,37,4.0,9,0,0,50,0
109,66601,Operations,region_13,Bachelor's,m,other,2,42,3.0,12,0,0,60,1
110,40276,R&D,region_22,Master's & above,m,sourcing,2,32,5.0,5,1,0,88,0
111,1522,Operations,region_13,Bachelor's,m,other,1,45,3.0,3,0,0,60,0
112,17936,Analytics,region_29,Bachelor's,m,other,1,28,3.0,7,0,0,83,0
113,26270,Technology,region_15,Master's & above,m,sourcing,1,35,1.0,9,0,0,81,1
114,6837,Sales & Marketing,region_4,Bachelor's,m,other,3,28,3.0,5,0,0,48,0
115,49665,Operations,region_8,Bachelor's,f,other,1,37,1.0,3,1,0,59,1
116,1908,Analytics,region_4,Master's & above,m,other,1,38,4.0,7,1,0,88,0
117,6474,Procurement,region_2,Bachelor's,f,sourcing,1,31,1.0,6,0,0,68,0
118,27495,Operations,region_2,Master's & above,m,other,2,43,3.0,2,0,0,69,0
119,24324,Operations,region_23,Bachelor's,m,other,1,32,3.0,2,1,0,62,1
120,14299,Procurement,region_2,Below Secondary,m,sourcing,1,24,4.0,2,1,0,69,0
121,56246,Operations,region_2,Master's & above,m,other,1,52,5.0,8,0,0,59,1
122,3901,Technology,region_13,Master's & above,m,other,1,38,5.0,2,0,0,88,0
123,41566,Finance,region_20,Bachelor's,m,other,1,35,3.0,4,0,0,59,0
124,55735,Technology,region_31,Master's & above,m,other,1,39,5.0,4,0,1,81,1
125,53627,Procurement,region_7,Bachelor's,m,other,1,31,3.0,5,1,0,65,1
126,62683,Operations,region_27,Bachelor's,m,sourcing,1,37,3.0,5,0,0,57,1
127,42719,Analytics,region_21,,m,sourcing,1,27,,1,0,0,80,0
128,44948,Operations,region_30,Master's & above,f,other,1,37,5.0,9,1,0,56,0
129,26037,Analytics,region_16,Bachelor's,m,other,2,31,3.0,5,1,0,81,0
